1.618033989	2.618033989	-4.236067977
2.618033989	2.618033989	-2.618033989
3.618033989	2.618033989	-1
3.236067977	1.618033989	-4.236067977
4.236067977	1.618033989	-2.618033989
5.236067977	1.618033989	-1
1.618033989	4.236067977	-8.472135954
4.236067977	3.236067977	-6.854101966
2.618033989	2.618033989	-5.854101966
3.618033989	2.618033989	-4.236067977
5.236067977	1.618033989	-4.236067977
5.236067977	0	-3.236067977
-1	5.236067977	-6.854101966
1.618033989	4.236067977	-5.236067977
2.618033989	4.236067977	-3.618033989
4.236067977	-3.236067977	-1.618033989
6.854101966	-4.236067977	0
4.236067977	-1.618033989	0.618033989
3.236067977	-3.236067977	0
4.236067977	-3.236067977	1.618033989
6.854101966	-4.236067977	3.236067977
5.854101966	-5.854101966	2.618033989
1	5.236067977	-6.854101966
1.618033989	1	-5.236067977
2.618033989	1	-3.618033989
4.236067977	0	-3.618033989
1.618033989	-0.618033989	-4.236067977
3.236067977	-1.618033989	-4.236067977
4.236067977	-1.618033989	-2.618033989
5.236067977	-1.618033989	-1
5.854101966	-2.618033989	-2.618033989
2.618033989	2.618033989	-7.854101966
1.618033989	1	-8.472135954
4.236067977	0	-6.854101966
6.854101966	-1	-5.236067977
5.236067977	-1.618033989	-4.236067977
5.854101966	-2.618033989	-5.854101966
7.854101966	-2.618033989	-2.618033989
6.854101966	-4.236067977	-3.236067977
-2.618033989	5.854101966	5.854101966
-4.236067977	5.236067977	6.854101966
-1.618033989	4.236067977	8.472135954
-2.618033989	2.618033989	7.854101966
0	1.618033989	9.472135954
4.236067977	-3.236067977	-6.854101966
6.854101966	-4.236067977	-5.236067977
5.854101966	-5.854101966	-2.618033989
-4.236067977	8.472135954	1.618033989
-5.236067977	6.854101966	1
-3.236067977	6.854101966	4.236067977
-2.618033989	5.854101966	2.618033989
-2.618033989	4.236067977	3.618033989
-1.618033989	4.236067977	5.236067977
0	3.236067977	5.236067977
-5.236067977	6.854101966	4.236067977
-2.618033989	2.618033989	5.854101966
-1	1.618033989	5.854101966
-1.618033989	1	8.472135954
-1	0	6.854101966
1.618033989	-1	8.472135954
0	-1.618033989	9.472135954
-4.236067977	8.472135954	-1.618033989
-1.618033989	5.854101966	1
1	1.618033989	5.854101966
1.618033989	0.618033989	4.236067977
-2.618033989	1	3.618033989
-1.618033989	1	5.236067977
0	0	5.236067977
1	0	6.854101966
1.618033989	-1	5.236067977
2.618033989	-2.618033989	7.854101966
-3.618033989	2.618033989	4.236067977
-1.618033989	4.236067977	3.236067977
0	3.236067977	3.236067977
-4.236067977	3.618033989	2.618033989
-3.618033989	2.618033989	1
-2.618033989	2.618033989	2.618033989
-1.618033989	2.618033989	4.236067977
-1	1.618033989	2.618033989
0	1.618033989	4.236067977
-1.618033989	2.618033989	1
0	1.618033989	1
1	1.618033989	2.618033989
2.618033989	-1	3.618033989
-5.236067977	6.854101966	-1
-4.236067977	5.236067977	1.618033989
-3.618033989	4.236067977	0
-2.618033989	4.236067977	1.618033989
-2.618033989	5.854101966	-2.618033989
-1.618033989	5.854101966	-1
-4.236067977	5.236067977	-1.618033989
-3.236067977	5.236067977	0
-2.618033989	4.236067977	-1.618033989
-1.618033989	4.236067977	0
-0.618033989	4.236067977	1.618033989
0	3.236067977	0
-1	-1.618033989	5.854101966
1.618033989	-4.236067977	8.472135954
-3.236067977	6.854101966	-4.236067977
-2.618033989	5.854101966	-5.854101966
-1.618033989	4.236067977	-3.236067977
-0.618033989	4.236067977	-1.618033989
0	3.236067977	-3.236067977
-5.236067977	6.854101966	-4.236067977
-1	-1.618033989	2.618033989
0	-1.618033989	4.236067977
1	-1.618033989	5.854101966
1.618033989	-2.618033989	4.236067977
2.618033989	-2.618033989	5.854101966
0	-3.236067977	5.236067977
1.618033989	-4.236067977	5.236067977
4.236067977	-5.236067977	6.854101966
3.618033989	-2.618033989	4.236067977
4.236067977	-3.618033989	2.618033989
2.618033989	-4.236067977	3.618033989
-3.618033989	2.618033989	-1
-2.618033989	1	1.618033989
-1	0	1.618033989
0	0	3.236067977
-1.618033989	-0.618033989	4.236067977
-1	0	-1.618033989
1	0	1.618033989
1.618033989	-1	0
2.618033989	-1	1.618033989
0	-1.618033989	1
1	-1.618033989	2.618033989
1.618033989	-2.618033989	1
2.618033989	-2.618033989	2.618033989
-4.236067977	3.618033989	-2.618033989
-3.618033989	2.618033989	-4.236067977
-2.618033989	2.618033989	-2.618033989
-1.618033989	2.618033989	-1
-1	1.618033989	-2.618033989
0	1.618033989	-1
-2.618033989	1	-1.618033989
-1.618033989	1	0
0	1.618033989	-4.236067977
1	1.618033989	-2.618033989
1.618033989	0.618033989	-4.236067977
0	0	-3.236067977
1	0	-1.618033989
2.618033989	-1	-1.618033989
3.618033989	-2.618033989	1
-2.618033989	4.236067977	-3.618033989
-1.618033989	4.236067977	-8.472135954
1	1.618033989	-5.854101966
-4.236067977	5.236067977	-6.854101966
-1.618033989	4.236067977	-5.236067977
0	3.236067977	-5.236067977
-2.618033989	2.618033989	-5.854101966
-1.618033989	2.618033989	-4.236067977
-1	1.618033989	-5.854101966
1.618033989	-5.854101966	1
2.618033989	-5.854101966	2.618033989
5.236067977	-6.854101966	4.236067977
0	-3.236067977	3.236067977
0.618033989	-4.236067977	1.618033989
1.618033989	-4.236067977	3.236067977
2.618033989	-5.854101966	5.854101966
3.236067977	-6.854101966	4.236067977
0	-1.618033989	-1
1.618033989	-2.618033989	-1
0	-3.236067977	0
0.618033989	-4.236067977	-1.618033989
1.618033989	-4.236067977	0
2.618033989	-4.236067977	1.618033989
3.236067977	-5.236067977	0
4.236067977	-5.236067977	1.618033989
0	-3.236067977	-3.236067977
1.618033989	-4.236067977	-3.236067977
2.618033989	-4.236067977	-1.618033989
3.618033989	-4.236067977	0
4.236067977	-5.236067977	-1.618033989
5.236067977	-6.854101966	1
-2.618033989	1	-3.618033989
-1	-1.618033989	-2.618033989
-1.618033989	-0.618033989	-4.236067977
-1	-1.618033989	-5.854101966
0	-1.618033989	-4.236067977
1	-1.618033989	-2.618033989
1.618033989	-2.618033989	-4.236067977
2.618033989	-2.618033989	-2.618033989
3.618033989	-2.618033989	-1
4.236067977	-3.618033989	-2.618033989
2.618033989	-2.618033989	-5.854101966
3.618033989	-2.618033989	-4.236067977
-2.618033989	2.618033989	-7.854101966
-1.618033989	1	-5.236067977
-1	0	-6.854101966
0	0	-5.236067977
1.618033989	-1	-5.236067977
2.618033989	-1	-3.618033989
4.236067977	-8.472135954	-1.618033989
1.618033989	-5.854101966	-1
4.236067977	-8.472135954	1.618033989
0	1.618033989	-9.472135954
-1.618033989	1	-8.472135954
1	0	-6.854101966
1.618033989	-1	-8.472135954
1	-1.618033989	-5.854101966
2.618033989	-5.854101966	-5.854101966
5.236067977	-6.854101966	-4.236067977
0	-3.236067977	-5.236067977
1.618033989	-4.236067977	-5.236067977
2.618033989	-4.236067977	-3.618033989
2.618033989	-5.854101966	-2.618033989
3.236067977	-6.854101966	-4.236067977
5.236067977	-6.854101966	-1
-2.618033989	-2.618033989	7.854101966
-5.854101966	5.854101966	2.618033989
-6.854101966	4.236067977	5.236067977
-4.236067977	3.236067977	6.854101966
0	-1.618033989	-9.472135954
2.618033989	-2.618033989	-7.854101966
1.618033989	-4.236067977	-8.472135954
4.236067977	-5.236067977	-6.854101966
-1.618033989	-1	5.236067977
-6.854101966	4.236067977	3.236067977
-7.854101966	2.618033989	2.618033989
-5.854101966	2.618033989	5.854101966
-5.236067977	1.618033989	4.236067977
-6.854101966	1	5.236067977
-4.236067977	0	6.854101966
-1.618033989	-1	8.472135954
-5.854101966	2.618033989	2.618033989
-5.236067977	1.618033989	1
-4.236067977	1.618033989	2.618033989
-3.236067977	1.618033989	4.236067977
-1.618033989	0.618033989	4.236067977
-4.236067977	0	3.618033989
-2.618033989	-1	3.618033989
-1	-5.236067977	6.854101966
-5.854101966	5.854101966	-2.618033989
-6.854101966	4.236067977	-3.236067977
-4.236067977	3.236067977	-1.618033989
-3.236067977	3.236067977	0
-4.236067977	1.618033989	-0.618033989
-6.854101966	4.236067977	0
-4.236067977	3.236067977	1.618033989
8.472135954	-1.618033989	-4.236067977
8.472135954	-1.618033989	-1
4.236067977	5.236067977	-6.854101966
6.854101966	4.236067977	-5.236067977
5.854101966	2.618033989	-5.854101966
7.854101966	2.618033989	-2.618033989
-2.618033989	-2.618033989	2.618033989
-1.618033989	-2.618033989	4.236067977
-1	-3.618033989	2.618033989
0	-3.618033989	4.236067977
-2.618033989	-4.236067977	3.618033989
-1.618033989	-4.236067977	5.236067977
1	-5.236067977	6.854101966
-5.236067977	0	3.236067977
-5.236067977	-1.618033989	4.236067977
-5.236067977	0	0
-4.236067977	0	1.618033989
-3.236067977	0	3.236067977
-2.618033989	-1	1.618033989
-5.236067977	-1.618033989	1
-4.236067977	-1.618033989	2.618033989
-3.236067977	-1.618033989	4.236067977
-3.618033989	-2.618033989	1
-1.618033989	-1	0
-4.236067977	-1.618033989	-0.618033989
-1.618033989	-2.618033989	1
1	-3.618033989	2.618033989
-7.854101966	2.618033989	-2.618033989
-5.236067977	1.618033989	-1
-4.236067977	1.618033989	0.618033989
-6.854101966	1	0
-5.854101966	1	1.618033989
-5.854101966	2.618033989	-2.618033989
-5.236067977	1.618033989	-4.236067977
-4.236067977	1.618033989	-2.618033989
-5.854101966	1	-1.618033989
-5.236067977	0	-3.236067977
-4.236067977	0	-1.618033989
-3.236067977	0	0
-2.618033989	-1	-1.618033989
-2.618033989	-5.854101966	2.618033989
0	-6.854101966	4.236067977
-2.618033989	-5.854101966	5.854101966
-4.236067977	3.236067977	-6.854101966
-5.854101966	2.618033989	-5.854101966
-3.236067977	1.618033989	-4.236067977
-1.618033989	0.618033989	-4.236067977
-3.236067977	0	-3.236067977
-6.854101966	4.236067977	-5.236067977
-5.236067977	-1.618033989	-1
-4.236067977	-1.618033989	0.618033989
-3.618033989	-2.618033989	-1
-4.236067977	-3.236067977	1.618033989
-3.618033989	-4.236067977	0
-2.618033989	-4.236067977	1.618033989
-1.618033989	-4.236067977	3.236067977
-1	-5.236067977	1.618033989
-2.618033989	-4.236067977	-1.618033989
-1.618033989	-4.236067977	0
-0.618033989	-4.236067977	1.618033989
-1	-5.236067977	-1.618033989
0	-5.236067977	0
1	-5.236067977	1.618033989
-1.618033989	-5.854101966	1
0	-6.854101966	1
2.618033989	-7.854101966	2.618033989
-5.236067977	-1.618033989	-4.236067977
-4.236067977	-1.618033989	-2.618033989
-3.618033989	-2.618033989	-4.236067977
-2.618033989	-2.618033989	-2.618033989
-1.618033989	-2.618033989	-1
-1	-3.618033989	-2.618033989
-4.236067977	-3.236067977	-1.618033989
-3.236067977	-3.236067977	0
-1.618033989	-2.618033989	-4.236067977
0	-3.618033989	-4.236067977
1	-3.618033989	-2.618033989
-1.618033989	-4.236067977	-3.236067977
-0.618033989	-4.236067977	-1.618033989
1	-5.236067977	-1.618033989
-6.854101966	1	-5.236067977
-4.236067977	0	-3.618033989
-2.618033989	-1	-3.618033989
1	-8.472135954	1.618033989
1.618033989	-9.472135954	0
-1	-8.472135954	1.618033989
-1.618033989	-1	-8.472135954
-4.236067977	0	-6.854101966
-1.618033989	-1	-5.236067977
-3.236067977	-1.618033989	-4.236067977
-2.618033989	-2.618033989	-5.854101966
-2.618033989	-5.854101966	-5.854101966
0	-6.854101966	-4.236067977
2.618033989	-7.854101966	-2.618033989
1	-8.472135954	-1.618033989
-2.618033989	-4.236067977	-3.618033989
-2.618033989	-5.854101966	-2.618033989
-1.618033989	-5.854101966	-1
0	-6.854101966	-1
-1	-8.472135954	-1.618033989
-8.472135954	1.618033989	4.236067977
-6.854101966	-1	5.236067977
-1.618033989	-4.236067977	-8.472135954
1	-5.236067977	-6.854101966
-2.618033989	-2.618033989	-7.854101966
-4.236067977	-3.236067977	-6.854101966
-1.618033989	-4.236067977	-5.236067977
-1	-5.236067977	-6.854101966
-5.854101966	-2.618033989	2.618033989
-4.236067977	-3.618033989	2.618033989
-9.472135954	0	1.618033989
-8.472135954	-1.618033989	4.236067977
-7.854101966	-2.618033989	2.618033989
-5.854101966	-2.618033989	5.854101966
-6.854101966	-4.236067977	5.236067977
-4.236067977	-5.236067977	6.854101966
-8.472135954	1.618033989	1
-5.236067977	-6.854101966	4.236067977
-8.472135954	1.618033989	-4.236067977
-5.854101966	-1	-1.618033989
-8.472135954	1.618033989	-1
-9.472135954	0	-1.618033989
-6.854101966	-1	0
-5.854101966	-1	1.618033989
-8.472135954	-1.618033989	1
-8.472135954	-1.618033989	-1
3.236067977	5.236067977	0
-7.854101966	-2.618033989	-2.618033989
4.236067977	5.236067977	1.618033989
-6.854101966	-4.236067977	0
-4.236067977	-5.236067977	1.618033989
-5.854101966	-5.854101966	2.618033989
-5.236067977	-6.854101966	1
-3.236067977	-6.854101966	4.236067977
-2.618033989	-7.854101966	2.618033989
-6.854101966	-4.236067977	3.236067977
-5.854101966	-2.618033989	-5.854101966
5.236067977	6.854101966	-1
-6.854101966	-1	-5.236067977
5.854101966	5.854101966	-2.618033989
-8.472135954	-1.618033989	-4.236067977
-5.854101966	-2.618033989	-2.618033989
4.236067977	5.236067977	-1.618033989
-4.236067977	-3.618033989	-2.618033989
6.854101966	4.236067977	0
-6.854101966	-4.236067977	-3.236067977
7.854101966	2.618033989	2.618033989
-4.236067977	-5.236067977	-1.618033989
8.472135954	1.618033989	1
-3.236067977	-5.236067977	0
-3.236067977	-6.854101966	-4.236067977
8.472135954	-1.618033989	1
-6.854101966	-4.236067977	-5.236067977
5.854101966	1	1.618033989
-5.854101966	-5.854101966	-2.618033989
8.472135954	-1.618033989	4.236067977
-5.236067977	-6.854101966	-4.236067977
-2.618033989	-7.854101966	-2.618033989
5.236067977	6.854101966	-4.236067977
-4.236067977	-8.472135954	-1.618033989
6.854101966	4.236067977	-3.236067977
-1.618033989	-9.472135954	0
2.618033989	7.854101966	-2.618033989
-5.236067977	-6.854101966	-1
-4.236067977	-8.472135954	1.618033989
3.236067977	6.854101966	-4.236067977
8.472135954	1.618033989	-4.236067977
9.472135954	0	-1.618033989
4.236067977	3.618033989	-2.618033989
5.854101966	2.618033989	-2.618033989
8.472135954	1.618033989	-1
5.854101966	1	-1.618033989
6.854101966	1	0
9.472135954	0	1.618033989
-4.236067977	-5.236067977	-6.854101966
